x,y
797,12607
682.1380004882812,12185.423828125
566.8560791015625,11763.9619140625
451.3977355957031,11342.5478515625
335.8619079589844,10921.1552734375
220.44993591308594,10499.7294921875
104.95569610595703,10078.326171875
20.000004932226148,9652.8359375
344.107421875,9539.5927734375
781.0512084960938,9539.04296875
1217.994873046875,9538.4931640625
1654.9388427734375,9537.9150390625
2091.8818359375,9537.0908203125
2528.825439453125,9536.2666015625
2965.7685546875,9535.4423828125
3200.000244140625,9332.287109375
3200.000244140625,8895.34375
3200.000244140625,8458.3994140625
3200.000244140625,8021.45556640625
3200.000244140625,7584.51171875
3200,7147.5673828125
3200,6710.623046875
3200,6273.6787109375
3200,5836.7353515625
3200,5399.791015625
3200,4962.8466796875
3200.000244140625,4525.90234375
3200.000244140625,4088.9580078125
3200.000244140625,3652.0146484375
3200.000244140625,3215.0703125
3200,2778.1259765625
3200,2341.181640625
3200,1904.23828125
3200,1467.2939453125
3200,1030.349609375
3200,593.4052734375
3200,156.4619140625
3499.994140625,32.863572120666504
3934.150634765625,82.01052856445312
4367.96240234375,134.25413513183594
4801.7646484375,186.53329467773438
5235.56103515625,238.8992156982422
5669.35498046875,291.264892578125
6103.21875,343.05255126953125
6537.11083984375,394.61712646484375
6650.1416015625,733.83837890625
6650.3330078125,1170.78173828125
6650.5244140625,1607.72705078125
6650.71630859375,2044.670166015625
6650.90771484375,2481.615478515625
6651.09912109375,2918.558837890625
6651.291015625,3355.502197265625
6651.482421875,3792.447265625
6651.673828125,4229.390625
6651.86572265625,4666.3359375
6652.08544921875,5103.2783203125
6652.373046875,5540.2216796875
6652.66015625,5977.1669921875
6652.94775390625,6414.1103515625
6653.23486328125,6851.0537109375
6653.5224609375,7287.99853515625
6653.8095703125,7724.94189453125
6654.09716796875,8161.88720703125
6654.38427734375,8598.830078125
6654.671875,9035.7734375
6654.958984375,9472.71875
7029.66015625,9535.7578125
7466.60302734375,9536.6416015625
7903.54736328125,9537.525390625
8340.4892578125,9538.2734375
8777.4345703125,9538.86328125
9214.376953125,9539.4521484375
9620,9571.318359375
9620,10008.263671875
9620,10445.20703125
9620,10882.15234375
9620,11319.09375
9620,11756.0390625
9620,12192.984375
9620,12629.9296875
9373.12890625,12820
8936.18359375,12820
8499.23828125,12820
8062.296875,12820
7625.3515625,12820
7188.40625,12820
6751.46484375,12820
6314.51953125,12820
5877.57421875,12820
5440.6328125,12820
5003.6875,12820
4566.7421875,12820
4129.80078125,12820
3692.85546875,12820
3255.91015625,12820
2818.96484375,12820
2382.0234375,12820
1945.078125,12820
1508.1328125,12820
1071.19140625,12820
